Label,Score,Status,x,y,r,x0,y0,r0,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.091304348,Correct,1000.915996,490.6956341,2.334456293,1000,490.6956521,2.547826088,1000.917017,490.6956339,109,1,1,1,1,1,1,1
BERT-LARGE,0.091304348,Correct,800.6143283,490.6956542,2.334456293,800,490.6956521,2.547826088,800.6150132,490.6956542,109,1,1,1,1,1,1,1
GLOVE-CNN,0.091304348,Correct,200.8886424,490.6956582,2.334456293,200,490.6956521,2.547826088,200.8896331,490.6956583,108,1,1,1,1,1,1,1
GLOVE-LSTM,0.091304348,Correct,399.1834453,490.695638,2.334456293,400,490.6956521,2.547826088,399.182535,490.6956378,109,1,1,1,1,1,1,1
ROBERTA-LARGE,0.091304348,Incorrect,601.7795809,490.6956547,2.334456293,600,490.6956521,2.547826088,601.7815648,490.6956547,109,1,1,1,1,1,1,1
BERT-BASE,0.108108108,Correct,1002.264613,481.8859982,2.396010024,1000,481.6216217,2.648648648,1002.263601,481.8860104,26,1,1,1,1,1,1,1
BERT-LARGE,0.108108108,Correct,803.0754143,481.8849568,2.396010024,800,481.6216217,2.648648648,803.0753111,481.8849625,26,1,1,1,1,1,1,1
GLOVE-CNN,0.108108108,Correct,205.0528878,481.8858725,2.396010024,200,481.6216217,2.648648648,205.0549852,481.885884,25,1,1,1,1,1,1,1
GLOVE-LSTM,0.108108108,Incorrect,396.2544847,481.8853084,2.396010024,400,481.6216217,2.648648648,396.2538424,481.8853163,26,1,1,1,1,1,1,1
ROBERTA-LARGE,0.108108108,Correct,604.6029679,481.8277485,2.396010024,600,481.6216217,2.648648648,604.6048134,481.8273843,26,1,1,1,1,1,1,1
BERT-BASE,0.11637931,Incorrect,996.2449321,476.8907895,2.426308204,1000,477.1551726,2.69827586,996.2442821,476.8907772,23,1,1,1,1,1,1,1
BERT-LARGE,0.11637931,Correct,797.0540014,476.8918366,2.426308204,800,477.1551726,2.69827586,797.0542488,476.8918309,23,1,1,1,1,1,1,1
GLOVE-CNN,0.11637931,Correct,199.0329661,476.8909546,2.426308204,200,477.1551726,2.69827586,199.0354236,476.8909435,22,1,1,1,1,1,1,1
GLOVE-LSTM,0.11637931,Correct,402.2753149,476.8914856,2.426308204,400,477.1551726,2.69827586,402.2743182,476.8914776,23,1,1,1,1,1,1,1
ROBERTA-LARGE,0.11637931,Incorrect,598.4885386,476.9489765,2.426308204,600,477.1551726,2.69827586,598.4901396,476.9493398,23,1,1,1,1,1,1,1
BERT-BASE,0.132478632,Correct,1003.934757,468.7375959,2.485281513,1000,468.4615387,2.794871792,1003.936048,468.7373944,129,1,1,1,1,1,1,1
BERT-LARGE,0.132478632,Correct,804.876535,468.7831125,2.485281513,800,468.4615387,2.794871792,804.8786938,468.7831306,129,1,1,1,1,1,1,1
GLOVE-CNN,0.132478632,Correct,200.0636539,468.7835857,2.485281513,200,468.4615387,2.794871792,200.0670043,468.783606,128,1,1,1,1,1,1,1
GLOVE-LSTM,0.132478632,Correct,400.6484775,468.7829743,2.485281513,400,468.4615387,2.794871792,400.6459234,468.7829917,129,1,1,1,1,1,1,1
