Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.278455003,Correct,1006.004842,389.6343168,3.020006495,1000,389.6342984,3.670730018,0,1006.006671,389.634317,5,1,1,1,1,1,1,1
BERT-LARGE,0.278455003,Correct,794.1906474,389.6343212,3.020006495,800,389.6342984,3.670730018,0,794.1890358,389.6343215,5,1,1,1,1,1,1,1
GLOVE-CNN,0.278455003,Incorrect,196.3056262,389.6343192,3.020006495,200,389.6342984,3.670730018,0,196.3063615,389.6343194,5,1,1,1,1,1,1,1
GLOVE-LSTM,0.278455003,Correct,395.7174107,389.6343036,3.020006495,400,389.6342984,3.670730018,0,395.7174932,389.6343037,5,1,1,1,1,1,1,1
ROBERTA-LARGE,0.278455003,Incorrect,595.7821199,389.6342857,3.020006495,600,389.6342984,3.670730018,0,595.7774183,389.6342855,5,1,1,1,1,1,1,1
BERT-BASE,0.340461022,Correct,1003.70698,356.9438082,3.247140292,1000,356.1510481,4.042766132,0,1003.70491,356.9371111,112,1,1,1,1,1,1,1
BERT-LARGE,0.340461022,Correct,807.0968706,356.2005893,3.247140292,800,356.1510481,4.042766132,0,807.1047823,356.2012318,112,1,1,1,1,1,1,1
GLOVE-CNN,0.340461022,Incorrect,204.6836445,356.0407084,3.247140292,200,356.1510481,4.042766132,0,204.6835259,356.0399455,112,1,1,1,1,1,1,1
GLOVE-LSTM,0.340461022,Correct,400.5624755,357.5063492,3.247140292,400,356.1510481,4.042766132,0,400.5579577,357.523178,112,1,1,1,1,1,1,1
ROBERTA-LARGE,0.340461022,Correct,594.4322874,356.1562187,3.247140292,600,356.1510481,4.042766132,0,594.4260805,356.1562861,112,1,1,1,1,1,1,1
BERT-BASE,0.359722262,Correct,986.7052981,350.5189838,3.317696,1000,345.7499785,4.158333572,0,986.7106516,350.5276563,109,1,1,1,2,1,1,1
BERT-LARGE,0.359722262,Correct,785.4703446,348.1821811,3.317696,800,345.7499785,4.158333572,0,785.4713651,348.1834402,109,1,1,1,2,1,1,1
GLOVE-CNN,0.359722262,Correct,194.7250219,347.3590426,3.317696,200,345.7499785,4.158333572,0,194.7265339,347.3715463,109,1,1,1,2,1,1,1
GLOVE-LSTM,0.359722262,Correct,415.5244505,346.7950213,3.317696,400,345.7499785,4.158333572,0,415.5139338,346.8091668,109,1,1,1,2,1,1,1
ROBERTA-LARGE,0.359722262,Incorrect,602.3321158,345.9686998,3.317696,600,345.7499785,4.158333572,0,602.3347722,345.9714069,109,1,1,1,2,1,1,1
BERT-BASE,0.36983425,Incorrect,990.7382885,341.7274565,3.35473715,1000,340.289505,4.2190055,0,990.7518937,341.7408586,2,1,1,1,2,1,1,1
BERT-LARGE,0.36983425,Incorrect,791.023461,340.2626571,3.35473715,800,340.289505,4.2190055,0,790.988918,340.2401372,2,1,1,1,2,1,1,1
GLOVE-CNN,0.36983425,Incorrect,175.7428884,344.1250038,3.35473715,200,340.289505,4.2190055,0,175.7203552,344.1661888,2,1,1,1,2,1,1,1
GLOVE-LSTM,0.36983425,Incorrect,396.4290657,347.7271203,3.35473715,400,340.289505,4.2190055,0,396.3931629,347.708804,2,1,1,1,2,1,1,1
ROBERTA-LARGE,0.36983425,Incorrect,611.5398911,342.5089459,3.35473715,600,340.289505,4.2190055,0,611.5343607,342.5107622,2,1,1,1,2,1,1,1
BERT-BASE,0.377053003,Correct,978.508376,344.9132613,3.381180111,1000,336.3913784,4.262318018,0,978.5019528,344.933813,85,1,1,1,2,1,1,1
BERT-LARGE,0.377053003,Correct,774.1028977,343.5807124,3.381180111,800,336.3913784,4.262318018,0,774.0880785,343.5584363,85,1,1,1,2,1,1,1
GLOVE-CNN,0.377053003,Correct,201.4704494,339.9415765,3.381180111,200,336.3913784,4.262318018,0,201.44714,339.955102,85,1,1,1,2,1,1,1
GLOVE-LSTM,0.377053003,Correct,425.8837488,337.8716428,3.381180111,400,336.3913784,4.262318018,0,425.8680345,337.8867198,85,1,1,1,2,1,1,1
ROBERTA-LARGE,0.377053003,Correct,589.2602099,323.5700474,3.381180111,600,336.3913784,4.262318018,0,589.2700042,323.5499951,85,1,1,1,2,1,1,1
BERT-BASE,0.385194193,Correct,972.1737915,337.4456312,3.411002045,1000,331.9951358,4.311165158,0,972.1642177,337.4459553,48,1,1,1,2,1,1,1
BERT-LARGE,0.385194193,Correct,781.4240957,337.0768727,3.411002045,800,331.9951358,4.311165158,0,781.423546,337.0702322,48,1,1,1,2,1,1,1
GLOVE-CNN,0.385194193,Correct,172.8596079,334.392718,3.411002045,200,331.9951358,4.311165158,0,172.8648963,334.3675796,48,1,1,1,2,1,1,1
GLOVE-LSTM,0.385194193,Correct,387.9114199,342.9571892,3.411002045,400,331.9951358,4.311165158,0,387.8828333,342.9332706,48,1,1,1,2,1,1,1
ROBERTA-LARGE,0.385194193,Correct,573.3983696,335.0271269,3.411002045,600,331.9951358,4.311165158,0,573.4048591,335.0256264,48,1,1,1,2,1,1,1
BERT-BASE,0.387874668,Correct,1024.395286,337.8938711,3.420820874,1000,330.5476793,4.327248008,0,1024.397137,337.9040632,124,1,1,1,2,1,1,1
BERT-LARGE,0.387874668,Correct,821.8689793,342.3303255,3.420820874,800,330.5476793,4.327248008,0,821.862023,342.3729917,124,1,1,1,2,1,1,1
GLOVE-CNN,0.387874668,Incorrect,162.8887753,334.0611068,3.420820874,200,330.5476793,4.327248008,0,162.8656337,334.0751224,124,1,1,1,2,2,1,1
GLOVE-LSTM,0.387874668,Incorrect,398.2238179,328.1555168,3.420820874,400,330.5476793,4.327248008,0,398.2434572,328.1542732,124,1,1,1,2,2,1,1
ROBERTA-LARGE,0.387874668,Correct,595.7396963,338.540544,3.420820874,600,330.5476793,4.327248008,0,595.7365283,338.5252004,124,1,1,1,2,1,1,1
BERT-BASE,0.389694985,Correct,982.4119865,335.9148275,3.427488864,1000,329.5647081,4.33816991,0,982.3892228,335.929285,30,1,1,1,2,2,1,1
BERT-LARGE,0.389694985,Correct,802.7308886,342.518559,3.427488864,800,329.5647081,4.33816991,0,802.7245055,342.4932403,30,1,1,1,3,2,1,1
GLOVE-CNN,0.389694985,Correct,152.5885306,333.6163747,3.427488864,200,329.5647081,4.33816991,0,152.5764102,333.628173,30,1,1,1,3,2,1,1
GLOVE-LSTM,0.389694985,Correct,406.4112035,337.5447686,3.427488864,400,329.5647081,4.33816991,0,406.3510014,337.5514838,30,1,1,1,3,2,1,1
