Label,Score,Status,x,y,r,x0,y0,r0,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-LARGE,0.45560169,Incorrect,797.555301,453.6652543,3.668911235,800,453.6652583,4.73361014,797.5537955,453.6652543,111,1,1,1,1,1,1,1
BERT-LARGE,0.5007233,Correct,807.5718208,416.0639153,3.834195876,800,416.0639167,5.0043398,807.5764837,416.0639153,23,1,1,1,1,1,1,1
BERT-BASE,0.50100344,Incorrect,991.2179326,415.9350089,3.835222055,1000,415.8304667,5.00602064,991.2162896,415.9350208,88,1,1,1,1,1,1,1
BERT-BASE,0.50448751,Incorrect,1001.437689,412.8225384,3.847984527,1000,412.927075,5.02692506,1001.43481,412.8225266,148,1,1,1,1,1,1,1
GLOVE-LSTM,0.51364672,Incorrect,400.4813276,406.5028448,3.881535562,400,405.2944,5.08188032,400.4823458,406.5012711,91,1,1,1,1,1,1,1
BERT-BASE,0.51399904,Correct,1009.98963,405.2525067,3.882826143,1000,405.0008,5.08399424,1009.992357,405.2525699,97,1,1,1,1,1,1,1
GLOVE-LSTM,0.5189296,Correct,409.5057734,400.6019345,3.900887241,400,400.892,5.1135776,409.5064817,400.6020938,133,1,1,1,1,1,1,1
BERT-BASE,0.52146536,Incorrect,1001.548147,398.5271615,3.910175965,1000,398.7788667,5.12879216,1001.552525,398.5270983,71,1,1,1,1,1,1,1
GLOVE-LSTM,0.52358025,Correct,396.6429787,396.4085664,3.917923003,400,397.0164583,5.1414815,396.6389799,396.4102009,14,1,1,1,1,1,1,1
GLOVE-LSTM,0.52983284,Incorrect,386.9592791,391.4954809,3.94082682,400,391.8059667,5.17899704,386.9576036,391.4952607,103,1,1,1,1,1,1,1
BERT-LARGE,0.53064626,Correct,803.1113874,391.4593489,3.943806453,800,391.1281167,5.18387756,803.116639,391.4594622,138,1,1,1,1,1,1,1
BERT-LARGE,0.53941286,Correct,810.5781026,383.491377,3.975919322,800,383.8226167,5.23647716,810.5812813,383.4912636,58,1,1,1,1,1,1,1
GLOVE-LSTM,0.5477916,Correct,392.3159465,376.8403272,4.006611423,400,376.8403333,5.2867496,392.3112144,376.8403271,90,1,1,1,1,1,1,1
